,T0,Final,Gain
features-service,56.02000000000001,79.54240740740741,23.5224074074074
ncs,74.18,95.74333333333334,21.563333333333333
restcountries,78.27,82.61518518518518,4.345185185185187
scs,65.08,95.23962962962963,30.159629629629634
spring-actuator-demo,80.65,98.20833333333333,17.558333333333323
Pooled,70.84000000000002,90.26977777777779,19.429777777777776
