Transition,Before,After,Gain
$T_0 \rightarrow C_1$ (1st model),70.84000000000002,86.49596296296296,15.655962962962962
$C_1 \rightarrow C_2$ (2nd model),86.49596296296296,89.26677777777778,2.7708148148148144
$C_2 \rightarrow C_3$ (3rd model),89.26677777777778,90.26977777777779,1.003
$T_0 \rightarrow C_3$ (full),70.84000000000002,90.26977777777779,19.429777777777776
