sequence,seq_num,run,seed,project,position,model,init,fin,gain,tokens,cost,requests,time_min,flagged
sequence_01,1,run_02,367,restcountries,1,qwen,78.27,82.5,4.230000000000004,423334,0.22862265,19,7.909784638881684,False
sequence_01,1,run_02,367,restcountries,2,gpt5mini,82.5,82.5,0.0,281938,0.14256175,15,3.795436898867289,False
sequence_01,1,run_02,367,restcountries,3,glm,82.5,82.87,0.3700000000000045,347584,0.3370835059999999,26,33.4706440170606,False
sequence_01,1,run_02,367,scs,1,qwen,65.08,95.59,30.510000000000005,187888,0.16682306,13,7.642992929617564,False
sequence_01,1,run_02,367,scs,2,gpt5mini,95.59,95.59,0.0,123824,0.112583,15,2.787486430009206,False
sequence_01,1,run_02,367,scs,3,glm,95.59,95.59,0.0,140667,0.342615162,15,11.345727797349294,False
sequence_01,1,run_02,367,spring-actuator-demo,1,qwen,80.65,80.65,0.0,7295,0.00789548,2,2.5534555912017822,False
sequence_01,1,run_02,367,spring-actuator-demo,2,gpt5mini,80.65,80.65,0.0,10345,0.013116,2,2.4485181252161663,False
sequence_01,1,run_02,367,spring-actuator-demo,3,glm,80.65,100.0,19.349999999999994,9274,0.0176465,3,2.723507448037465,False
sequence_01,1,run_02,450,features-service,1,qwen,56.02,80.96,24.93999999999999,271386,0.22055647,25,6.957091764609019,False
sequence_01,1,run_02,450,features-service,2,gpt5mini,80.96,80.96,0.0,109986,0.0936237499999999,13,3.574811867872874,False
sequence_01,1,run_02,450,features-service,3,glm,80.96,80.96,0.0,114832,0.2337109939999999,12,10.144194587071736,False
sequence_01,1,run_02,450,ncs,1,qwen,74.18,82.91,8.72999999999999,114857,0.12091877,12,6.8370590249697365,False
sequence_01,1,run_02,450,ncs,2,gpt5mini,82.91,83.64,0.730000000000004,53649,0.05954225,9,2.695903011163076,False
sequence_01,1,run_02,450,ncs,3,glm,83.64,95.64,12.0,101446,0.27845199,16,7.335875797271728,False
sequence_01,1,run_02,450,restcountries,1,qwen,78.27,82.14,3.870000000000005,418163,0.2223452299999999,18,6.392297291755677,False
sequence_01,1,run_02,450,restcountries,2,gpt5mini,82.14,82.87,0.730000000000004,356325,0.20575025,28,4.726817866166432,False
sequence_01,1,run_02,450,restcountries,3,glm,82.87,82.87,0.0,320394,0.3830269956,18,13.655039509137472,False
sequence_01,1,run_02,450,scs,1,qwen,65.08,92.2,27.120000000000005,164359,0.13696723,13,7.120915619532267,False
sequence_01,1,run_02,450,scs,2,gpt5mini,92.2,95.59,3.390000000000001,113519,0.0970375,13,2.882429083188375,False
sequence_01,1,run_02,450,scs,3,glm,95.59,95.59,0.0,119817,0.2481069189999999,15,13.348658740520476,False
sequence_01,1,run_02,450,spring-actuator-demo,1,qwen,80.65,80.65,0.0,13588,0.01690925,2,3.5513659079869586,False
sequence_01,1,run_02,450,spring-actuator-demo,2,gpt5mini,80.65,100.0,19.349999999999994,7556,0.0106005,2,2.5345622499783835,False
sequence_01,1,run_02,450,spring-actuator-demo,3,glm,100.0,100.0,0.0,0,0.0,0,0.0001664876937866,False
sequence_01,1,run_02,767,features-service,1,qwen,56.02,79.21,23.18999999999999,267273,0.21164217,22,8.37084645430247,False
sequence_01,1,run_02,767,features-service,2,gpt5mini,79.21,79.21,0.0,133115,0.1135495,14,4.151533166567485,False
sequence_01,1,run_02,767,features-service,3,glm,79.21,80.96,1.75,154599,0.2548779999999999,17,5.311939175923666,False
sequence_01,1,run_02,767,ncs,1,qwen,74.18,95.64,21.459999999999997,137216,0.15228572,10,14.495847280820213,False
sequence_01,1,run_02,767,ncs,2,gpt5mini,95.64,95.64,0.0,59833,0.06685975,11,2.654549467563629,False
sequence_01,1,run_02,767,ncs,3,glm,95.64,95.64,0.0,77721,0.2348821016,9,9.62812398672104,False
sequence_01,1,run_02,767,restcountries,1,qwen,78.27,81.77,3.5,415937,0.21874738,21,6.511413562297821,False
sequence_01,1,run_02,767,restcountries,2,gpt5mini,81.77,82.87,1.1000000000000083,325159,0.200575,27,5.376807395617167,False
