sequence,seq_num,run,seed,project,seq_label,m1,m2,m3,T0,C1,C2,C3,gain,time_min,tokens,cost,requests,flagged
sequence_04,4,run_01,450,scs,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,65.08,92.2,95.59,95.59,30.510000000000005,55.32083878119786,474441,0.5904765019999999,45,False
sequence_04,4,run_01,450,spring-actuator-demo,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,80.65,80.65,100.0,100.0,19.349999999999994,5.840680468082428,16270,0.02292385,4,False
sequence_04,4,run_01,767,features-service,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,56.02,80.74,80.96,80.96,24.93999999999999,16.238660502433778,464048,0.510609042,47,False
sequence_04,4,run_01,767,ncs,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,74.18,92.36,93.09,96.36,22.179999999999996,26.44327704906464,289096,0.5172967304,28,False
sequence_04,4,run_01,767,restcountries,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,78.27,82.5,82.87,82.87,4.6000000000000085,27.957136209805807,1065615,0.9268318016,56,False
sequence_04,4,run_01,767,scs,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,65.08,95.25,95.59,95.59,30.510000000000005,20.559754093488056,431706,0.4945319984,45,False
sequence_04,4,run_01,767,spring-actuator-demo,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,80.65,100.0,100.0,100.0,19.349999999999994,2.199055059750875,6509,0.00877775,2,False
sequence_04,4,run_02,367,features-service,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,56.02,78.34,80.96,80.96,24.93999999999999,38.36487652460734,551647,0.6591105355200001,54,False
sequence_04,4,run_02,367,ncs,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,74.18,86.18,95.64,96.0,21.819999999999997,13.811851104100546,229330,0.3781251052,34,False
sequence_04,4,run_02,367,restcountries,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,78.27,81.4,82.87,82.87,4.6000000000000085,22.81105490128199,1013078,0.82425472,53,False
sequence_04,4,run_02,367,scs,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,65.08,86.44,94.58,95.59,30.510000000000005,18.01844977537791,422406,0.544627958,42,False
sequence_04,4,run_02,367,spring-actuator-demo,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,80.65,80.65,100.0,100.0,19.349999999999994,4.007261347770691,15752,0.02110105,4,False
sequence_04,4,run_02,450,features-service,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,56.02,78.99,80.31,80.31,24.29,19.28086003462473,537474,0.6896012109999999,51,False
sequence_04,4,run_02,450,ncs,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,74.18,87.64,93.45,93.82,19.639999999999983,18.87891782124837,266990,0.4438033290000001,30,False
sequence_04,4,run_02,450,restcountries,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,78.27,81.4,82.87,82.87,4.6000000000000085,22.773205800851187,1050474,0.8223660640000001,62,False
sequence_04,4,run_02,450,scs,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,65.08,91.53,93.56,94.58,29.5,18.50668414433797,443612,0.6400587600000001,42,False
sequence_04,4,run_02,450,spring-actuator-demo,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,80.65,80.65,100.0,100.0,19.349999999999994,4.965546909968058,15873,0.0243327,4,False
sequence_04,4,run_02,767,features-service,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,56.02,80.09,80.96,80.96,24.93999999999999,76.7812680999438,570000,0.4676480300000001,58,False
sequence_04,4,run_02,767,ncs,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,74.18,88.0,96.0,96.36,22.179999999999996,31.312407247225444,259385,0.48590004,29,False
sequence_04,4,run_02,767,restcountries,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,78.27,81.4,82.69,82.69,4.420000000000002,19.780812962849936,1078430,0.9503537608,60,False
sequence_04,4,run_02,767,scs,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,65.08,94.92,95.25,95.59,30.510000000000005,27.769997437795,461447,0.533415387,55,False
sequence_04,4,run_02,767,spring-actuator-demo,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,80.65,80.65,100.0,100.0,19.349999999999994,7.458336182435354,20094,0.03449695,4,False
sequence_04,4,run_03,367,features-service,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,56.02,80.09,80.96,80.96,24.93999999999999,15.120292524496714,457467,0.462728594,48,False
sequence_04,4,run_03,367,ncs,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,74.18,88.0,96.36,96.36,22.179999999999996,23.357574780782063,250439,0.343117686,29,False
sequence_04,4,run_03,367,restcountries,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,78.27,82.69,82.69,82.69,4.420000000000002,21.830679706732436,1065752,0.7407775561999999,61,False
sequence_04,4,run_03,367,scs,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,65.08,85.76,94.58,95.59,30.510000000000005,29.591880186398825,457083,0.4607084179999999,45,False
sequence_04,4,run_03,367,spring-actuator-demo,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,80.65,80.65,100.0,100.0,19.349999999999994,5.54524001677831,18883,0.024298294,4,False
sequence_04,4,run_03,450,features-service,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,56.02,78.56,80.96,80.96,24.93999999999999,20.89270485242208,625534,0.7071959548000001,72,False
sequence_04,4,run_03,450,ncs,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,74.18,95.64,95.64,95.64,21.459999999999997,16.582542622089385,240172,0.2924210348,33,False
sequence_04,4,run_03,450,restcountries,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,78.27,82.32,82.87,82.87,4.6000000000000085,19.79331222375234,1034938,0.6420960311999999,57,False
sequence_04,4,run_03,450,scs,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,65.08,92.2,95.59,95.59,30.510000000000005,20.478256714344024,422758,0.41433217,42,False
sequence_04,4,run_03,450,spring-actuator-demo,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,80.65,80.65,80.65,100.0,19.349999999999994,8.703864880402882,27722,0.03605489,6,False
sequence_04,4,run_03,767,features-service,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,56.02,79.43,80.96,80.96,24.93999999999999,16.92382438580195,498084,0.4424412984,51,False
sequence_04,4,run_03,767,ncs,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,74.18,95.27,96.36,96.36,22.179999999999996,19.00997836589813,247624,0.457490306,31,False
sequence_04,4,run_03,767,restcountries,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,78.27,81.03,82.5,82.5,4.230000000000004,23.20265202522278,1074412,0.74950344,63,False
sequence_04,4,run_03,767,scs,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,65.08,90.17,93.9,95.59,30.510000000000005,26.67800499200821,457309,0.495382282,40,False
sequence_04,4,run_03,767,spring-actuator-demo,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,80.65,80.65,100.0,100.0,19.349999999999994,4.66451419989268,17301,0.0262066499999999,4,False
sequence_05,5,run_01,367,features-service,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,56.02,56.02,56.24,56.24,0.2199999999999988,34.7328547557195,1075517,1.0893857188979998,103,False
sequence_05,5,run_01,367,ncs,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,74.18,95.27,96.0,96.0,21.819999999999997,16.39166038831075,245843,0.311663127,29,False
sequence_05,5,run_01,367,restcountries,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,78.27,82.32,82.32,82.32,4.049999999999997,19.79418761730194,1108914,0.7090365024,71,False
sequence_05,5,run_01,367,scs,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,65.08,94.58,95.59,95.59,30.510000000000005,24.404177176952363,449831,0.4807457176,44,False
sequence_05,5,run_01,367,spring-actuator-demo,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,80.65,80.65,80.65,80.65,0.0,9.009845701853434,40988,0.05188021,7,False
sequence_05,5,run_01,450,features-service,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,56.02,80.96,80.96,80.96,24.93999999999999,23.751361521085105,654374,0.6001931937999999,62,False
sequence_05,5,run_01,450,ncs,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,74.18,95.64,95.64,95.64,21.459999999999997,20.090376842021943,278274,0.330629664,34,False
sequence_05,5,run_01,450,restcountries,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,78.27,82.5,82.5,82.87,4.6000000000000085,22.236528424421945,1014952,0.6868856674000001,54,False
sequence_05,5,run_01,450,scs,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,65.08,93.56,94.58,94.58,29.5,19.807624022165932,455195,0.5303258988,42,False
sequence_05,5,run_01,450,spring-actuator-demo,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,80.65,100.0,100.0,100.0,19.349999999999994,2.395679291089376,5410,0.00907312,2,False
sequence_05,5,run_01,767,features-service,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,56.02,80.96,80.96,80.96,24.93999999999999,19.8023890376091,526101,0.611126987,48,False
sequence_05,5,run_01,767,ncs,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,74.18,92.0,95.64,95.64,21.459999999999997,22.646153167883558,262939,0.4165200029999999,29,False
sequence_05,5,run_01,767,restcountries,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,78.27,82.87,82.87,82.87,4.6000000000000085,20.561542173226677,1033832,0.6687416876,55,False
sequence_05,5,run_01,767,scs,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,65.08,95.25,95.59,95.59,30.510000000000005,23.289952464898427,458760,0.4667505933999999,43,False
sequence_05,5,run_01,767,spring-actuator-demo,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,80.65,80.65,80.65,80.65,0.0,8.098833374182384,27803,0.0322577749999999,6,False
sequence_05,5,run_02,367,features-service,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,56.02,56.02,56.02,56.02,0.0,19.13049366871516,878323,0.8558564157999999,95,False
sequence_05,5,run_02,367,ncs,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,74.18,88.73,96.0,96.0,21.819999999999997,23.325898313522337,247214,0.2862024572,28,False
sequence_05,5,run_02,367,restcountries,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,78.27,82.87,82.87,82.87,4.6000000000000085,22.2053546388944,1093188,0.859363462114,76,False
sequence_05,5,run_02,367,scs,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,65.08,89.83,93.22,95.59,30.510000000000005,22.34566506942113,456672,0.55883401,42,False
sequence_05,5,run_02,367,spring-actuator-demo,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,80.65,100.0,100.0,100.0,19.349999999999994,4.025112477938334,7333,0.01015625,2,False
sequence_05,5,run_02,450,features-service,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,56.02,80.74,80.74,80.96,24.93999999999999,19.31592796246211,596628,0.6271055108000001,64,False
sequence_05,5,run_02,450,ncs,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,74.18,92.73,92.73,92.73,18.55,18.142678264776865,275727,0.3038280644,37,False
sequence_05,5,run_02,450,restcountries,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,78.27,82.87,82.87,82.87,4.6000000000000085,21.19099825223287,1056977,0.7762744125279999,60,False
sequence_05,5,run_02,450,scs,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,65.08,91.86,95.59,95.59,30.510000000000005,37.13814525206884,520694,0.5255702424,43,False
sequence_05,5,run_02,450,spring-actuator-demo,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,80.65,100.0,100.0,100.0,19.349999999999994,2.4915803829828898,5983,0.010988206906,2,False
sequence_05,5,run_02,767,features-service,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,56.02,56.02,56.02,56.02,0.0,24.09022461573283,1003281,1.05471802596,100,False
sequence_05,5,run_02,767,ncs,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,74.18,92.73,96.36,96.36,22.179999999999996,21.55434398253759,258486,0.312959264,31,False
sequence_05,5,run_02,767,restcountries,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,78.27,82.87,82.87,82.87,4.6000000000000085,20.38025531768799,1052417,0.7947251404959998,56,False
sequence_05,5,run_02,767,scs,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,65.08,94.24,95.59,95.59,30.510000000000005,32.01501480738322,518259,0.5724658619999999,54,False
sequence_05,5,run_02,767,spring-actuator-demo,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,80.65,100.0,100.0,100.0,19.349999999999994,2.4851277271906533,5986,0.01023925,2,False
sequence_05,5,run_03,367,features-service,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,56.02,80.96,80.96,80.96,24.93999999999999,42.53848205010096,559200,0.621959800324,65,False
sequence_05,5,run_03,367,ncs,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,74.18,93.09,96.0,96.0,21.819999999999997,16.374054805437723,228039,0.2830745691,26,False
sequence_05,5,run_03,367,restcountries,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,78.27,82.69,82.69,82.69,4.420000000000002,27.473403680324555,1131163,1.043616086,71,False
sequence_05,5,run_03,367,scs,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,65.08,91.86,94.58,95.59,30.510000000000005,20.68617371718089,455871,0.6492785230000001,42,False
sequence_05,5,run_03,367,spring-actuator-demo,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,80.65,100.0,100.0,100.0,19.349999999999994,2.3276447534561155,7542,0.0136600012,2,False
sequence_05,5,run_03,450,features-service,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,56.02,80.96,80.96,80.96,24.93999999999999,25.10896876255671,545815,0.7532633519999999,50,False
sequence_05,5,run_03,450,ncs,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,74.18,95.64,96.36,96.36,22.179999999999996,14.0720215121905,257491,0.4695305839999999,31,False
sequence_05,5,run_03,450,restcountries,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,78.27,82.5,82.5,82.87,4.6000000000000085,18.80226765473684,1070494,0.96456604,58,False
sequence_05,5,run_03,450,scs,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,65.08,91.86,95.59,95.59,30.510000000000005,55.23939538399379,572198,0.68665314,43,False
sequence_05,5,run_03,450,spring-actuator-demo,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,80.65,80.65,80.65,100.0,19.349999999999994,8.705508367220562,40061,0.05023565,8,False
sequence_05,5,run_03,767,features-service,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,56.02,80.74,80.96,80.96,24.93999999999999,20.63763526280721,503091,0.6009679235999998,48,False
sequence_05,5,run_03,767,ncs,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,74.18,94.91,96.0,96.36,22.179999999999996,28.00437098344167,307439,0.3984694152,39,False
sequence_05,5,run_03,767,restcountries,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,78.27,82.5,82.5,82.5,4.230000000000004,20.06099585294724,1028966,0.8052101489999999,53,False
sequence_05,5,run_03,767,scs,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,65.08,90.51,95.59,95.59,30.510000000000005,24.374982698758444,478590,0.7041152519999999,42,False
sequence_05,5,run_03,767,spring-actuator-demo,glm -> qwen -> gpt5mini,glm,qwen,gpt5mini,80.65,100.0,100.0,100.0,19.349999999999994,2.428795258204142,6322,0.006790274,2,False
sequence_06,6,run_01,367,features-service,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,56.02,80.96,80.96,80.96,24.93999999999999,28.653609224160512,618541,0.8014163264,64,False
sequence_06,6,run_01,367,ncs,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,74.18,94.91,95.64,96.0,21.819999999999997,16.211284212271373,243531,0.297215026,30,False
sequence_06,6,run_01,367,restcountries,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,78.27,82.5,82.5,82.5,4.230000000000004,20.17662502924601,1126917,0.854077532,69,False
sequence_06,6,run_01,367,scs,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,65.08,88.14,95.25,95.59,30.510000000000005,17.50369555155436,448163,0.5715028200000001,40,False
sequence_06,6,run_01,367,spring-actuator-demo,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,80.65,100.0,100.0,100.0,19.349999999999994,2.887492744127909,7265,0.01302773,2,False
sequence_06,6,run_01,450,features-service,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,56.02,80.96,80.96,80.96,24.93999999999999,13.086334721247356,479393,0.5223496940000001,49,True
sequence_06,6,run_01,450,ncs,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,74.18,82.91,92.73,92.73,18.55,25.796067317326862,299353,0.4482020513879999,35,False
sequence_06,6,run_01,450,restcountries,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,78.27,79.74,82.69,82.69,4.420000000000002,17.36644380092621,1074442,0.821533109,64,False
sequence_06,6,run_01,450,scs,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,65.08,89.83,92.54,95.59,30.510000000000005,19.46852151552836,454842,0.6185483848,42,False
sequence_06,6,run_01,450,spring-actuator-demo,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,80.65,100.0,100.0,100.0,19.349999999999994,2.84993170897166,7359,0.008618304,2,False
sequence_06,6,run_01,767,features-service,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,56.02,80.96,80.96,80.96,24.93999999999999,16.801265819867453,495372,0.5685117920000001,51,False
sequence_06,6,run_01,767,ncs,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,74.18,92.73,92.73,96.0,21.819999999999997,18.804411017894743,265240,0.388930514,26,False
sequence_06,6,run_01,767,restcountries,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,78.27,82.5,82.5,82.69,4.420000000000002,33.6676831761996,1114478,0.7683346040000002,67,False
sequence_06,6,run_01,767,scs,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,65.08,91.86,94.24,94.24,29.16,27.732705708344778,466927,0.512886052,45,False
sequence_06,6,run_01,767,spring-actuator-demo,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,80.65,100.0,100.0,100.0,19.349999999999994,1.81775141954422,5136,0.00895525,2,False
sequence_06,6,run_02,367,features-service,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,56.02,80.96,80.96,80.96,24.93999999999999,18.926972806453705,513997,0.5812261504,51,False
sequence_06,6,run_02,367,ncs,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,74.18,96.0,96.0,96.36,22.179999999999996,18.816223084926605,313303,0.6532532179999999,36,False
sequence_06,6,run_02,367,restcountries,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,78.27,82.5,82.5,82.87,4.6000000000000085,20.359582916895548,1134126,0.778546186,56,False
sequence_06,6,run_02,367,scs,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,65.08,94.24,95.59,95.59,30.510000000000005,36.24354556004207,434228,0.5928732359800001,43,False
sequence_06,6,run_02,367,spring-actuator-demo,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,80.65,100.0,100.0,100.0,19.349999999999994,2.8698057015736897,6637,0.01097116,2,False
sequence_06,6,run_02,450,features-service,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,56.02,80.96,80.96,80.96,24.93999999999999,24.165667978922524,529793,0.7190031492000001,50,False
sequence_06,6,run_02,450,ncs,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,74.18,94.91,95.64,95.64,21.459999999999997,24.105791560808814,282823,0.38040288,31,False
sequence_06,6,run_02,450,restcountries,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,78.27,82.5,82.5,82.5,4.230000000000004,18.22296416759491,1043744,0.7991312309410001,63,False
sequence_06,6,run_02,450,scs,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,65.08,88.14,88.81,95.59,30.510000000000005,16.669639869530997,415299,0.409214744,44,False
sequence_06,6,run_02,450,spring-actuator-demo,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,80.65,100.0,100.0,100.0,19.349999999999994,4.107131206989289,12686,0.03940055,2,False
sequence_06,6,run_02,767,features-service,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,56.02,80.96,80.96,80.96,24.93999999999999,19.737056477864584,526697,0.620615654,51,False
sequence_06,6,run_02,767,ncs,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,74.18,93.09,96.0,96.0,21.819999999999997,29.612898969650267,278289,0.366348218,39,False
sequence_06,6,run_02,767,restcountries,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,78.27,82.69,82.69,82.87,4.6000000000000085,32.76908369461695,1104444,0.8745192180000003,75,False
sequence_06,6,run_02,767,scs,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,65.08,91.86,93.9,95.59,30.510000000000005,25.8244810461998,441989,0.5454067899999999,44,False
sequence_06,6,run_02,767,spring-actuator-demo,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,80.65,100.0,100.0,100.0,19.349999999999994,1.6832684755325318,4689,0.00836595,2,False
sequence_06,6,run_03,367,features-service,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,56.02,80.96,80.96,80.96,24.93999999999999,19.52392030556997,510959,0.7004219179999999,48,False
sequence_06,6,run_03,367,ncs,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,74.18,95.27,96.0,96.73,22.55,18.63639792998632,265943,0.3712942478,26,False
sequence_06,6,run_03,367,restcountries,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,78.27,82.5,82.87,82.87,4.6000000000000085,19.984649181365967,1076917,0.746250512,77,False
sequence_06,6,run_03,367,scs,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,65.08,90.51,95.59,95.59,30.510000000000005,28.04675726890564,537974,0.555734162,63,False
sequence_06,6,run_03,367,spring-actuator-demo,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,80.65,100.0,100.0,100.0,19.349999999999994,2.5202187577883404,5717,0.005685412,2,False
sequence_06,6,run_03,450,features-service,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,56.02,80.96,80.96,80.96,24.93999999999999,18.540057496229807,502454,0.6236122880000001,49,False
sequence_06,6,run_03,450,ncs,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,74.18,93.45,93.45,93.45,19.27,17.777535486221314,255090,0.313050438,28,False
sequence_06,6,run_03,450,restcountries,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,78.27,82.32,82.5,82.5,4.230000000000004,29.04903972943624,1118713,0.811061394,74,False
sequence_06,6,run_03,450,scs,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,65.08,88.14,91.86,95.59,30.510000000000005,22.01375165780385,474611,0.5705988,40,False
sequence_06,6,run_03,450,spring-actuator-demo,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,80.65,100.0,100.0,100.0,19.349999999999994,3.5939465800921124,7678,0.01474724,2,False
sequence_06,6,run_03,767,features-service,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,56.02,80.96,80.96,80.96,24.93999999999999,33.40349535147349,481825,0.54085176,47,True
sequence_06,6,run_03,767,ncs,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,74.18,93.45,94.91,96.36,22.179999999999996,23.105568198362985,259332,0.4100718279999999,28,False
sequence_06,6,run_03,767,restcountries,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,78.27,82.69,82.69,82.69,4.420000000000002,22.419930203755698,1062498,0.7446861059999998,60,False
sequence_06,6,run_03,767,scs,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,65.08,92.88,95.59,95.59,30.510000000000005,20.69740024805069,440499,0.5240298688,43,False
sequence_06,6,run_03,767,spring-actuator-demo,glm -> gpt5mini -> qwen,glm,gpt5mini,qwen,80.65,100.0,100.0,100.0,19.349999999999994,1.878762404123942,5841,0.0105392030599999,2,False
