GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Maven plug-in example with Offline Instrumentation,com.example.actuatordemo.controller,SampleController,0,33,0,2,0,7,0,4,0,3
JaCoCo Maven plug-in example with Offline Instrumentation,com.example.actuatordemo,ActuatorDemoApplication,0,8,0,0,0,3,0,2,0,2
JaCoCo Maven plug-in example with Offline Instrumentation,com.example.actuatordemo.config,ActuatorSecurityConfig,0,67,0,0,0,16,0,2,0,2
JaCoCo Maven plug-in example with Offline Instrumentation,com.example.actuatordemo.health,CustomHealthIndicator,0,13,0,0,0,5,0,2,0,2
